Name,Price
Levi Laing,Free
Luca Furnell-Gill,Free
Marshall Munetsi,€18M
Nasser Djiga,€12M
Nico González,€60M
Eli Junior Kroupi,€12M
Stefanos Tzimas,€25M
Patrick Dorgu,€30M
Cesare Casadei,€13M
Ayden Heaven,€1.8M
Eiran Joe Cashin,€10.8M
Luke Cundle,€1.2M
Jhon Durán,€77M
Miguel Almirón,€9.6M
Christian McFarlane,Free
George Edmundson,€0.7M
Tyler Roberts,Free
Omar Marmoush,€75M
Diego Carlos,€11.5M
Woyo Coulibaly,€3M
Donyell Malen,€25M
Charlie Whitaker,Free
Marcelo Pitaluga,Free
Matai Akinmboni,€1.5M
Manuel Ugarte,€50M
Edward Nketiah,€29.7M
Jayden Meghoma,€5.9M
Jay Stansfield,€17.8M
Billy Gilmour,€14M
Mahmoud Dahoud,Free
André,€22M
Scott McTominay,€30.5M
Aaron Ramsdale,€21.4M
Maxence Lacroix,€18M
Ethan Sutherland,€0.4M
Mike Penders,€20M
Loïc Mbe Soh,Free
Charlie Patino,€1.2M
Matt O'Riley,€29.5M
Dara O'Shea,€14.2M
David Carmo,€11M
Jack Clarke,€17.7M
Harvey Blair,€0.4M
William Fish,€1.2M
Joachim Andersen,€29.5M
İlkay Gündoğan,Free
Jordan Ayew,€5.9M
Asmir Begović,Free
Joe Worrall,€5.9M
Bobby Clark,€11.8M
Sepp van den Berg,€23.6M
Sander Berge,€23.6M
Louie Moulden,Free
Conor Gallagher,€42M
João Félix,€52M
Facundo Pellistri,€6M
Sékou Mara,€12M
Georginio Rutter,€46.7M
Oliver Skipp,€23.5M
Tawanda Maswanhise,Free
Emerson Royal,€15M
Pedro Neto,€60M
Dominic Solanke,€64.3M
Crysencio Summerville,€29.3M
Frankie Ealing,Free
Jake Vokins,Free
Emile Smith Rowe,€31.8M
Jack Lewis,Free
Ismaïla Sarr,€15M
Conor Townsend,€0.6M
Pascal Groß,€7M
Jota Silva,€7M
Josh Squires,Free
Michael Ndiweni,Free
Malang Sarr,Free
Ryan Sessegnon,Free
Jack Hinchy,Free
Marek Rodák,Free
Marc Leonard,€0.6M
Moussa Diaby,€60M
Che Adams,Free
Caleb Ryan Wiley,€10.1M
Amadou Onana,€59.4M
Tommy Setford,€0.9M
Miodrag Pivas,€0.8M
Theodore Adelusi,Free
J. Philogene,€16M
Tyrese Francois,Free
Václav Hladký,Free
Nikola Milenković,€12.3M
Shae Cahill,Free
Leny Yoro,€62M
Mason Greenwood,€26M
Sávio,€25M
Arijanet Murić,€9.6M
Jack Barrett,Free
Flynn Downes,€17.9M
Viljami Sinisalo,€1.2M
Ben Greenwood,Free
Lewis Warrington,Free
Kieffer Moore,€1.8M
Willy Kambwala,€10M
Ovie Ejeheri,Free
Calum Chambers,Free
Joshua Zirkzee,€42.5M
Yukinari Sugawara,€7M
Liam Delap,€17.9M
Troy Parrott,€4M
Sergio Gómez,€9M
Malick Yalcouyé,€7M
Japhet Tanganga,Free
Charlie McNeill,Free
Lyanco,€4.5M
Shane Flynn,Free
Thiago Silva,Free
Joe Andrews,Free
Luke Hewitson,Free
Carlos Miguel,€4M
Idris El Mizouni,€0.5M
Georgios Okkas,Free
Caleb Okoli,€14M
Francis Gyimah,Free
Mats Wieffer,€32M
Moussa Niakhaté,€31.9M
MacKenzie Hunt,Free
Tanguy Ndombélé,Free
Luke Pearce,Free
G. Yahyai,€1.2M
David Raya,€31.9M
Ivan Perišić,Free
Dylan Graham,Free
Iliman Ndiaye,€18M
Jemiah Umolu,Free
Lewis Fiorini,€0.4M
Joe Rodon,€11.8M
Kiernan Dewsbury-Hall,€35.4M
Orel Mangala,€23.4M
Kayden Jackson,Free
Archie Gray,€41.3M
Chadi Riad,€15M
Charlie Taylor,Free
Marc Guiu,€6M
Samuel Iling,€14M
Enzo Barrenechea,€8M
O. Hutchinson,€23.5M
Yankuba Minteh,€35M
Elliot Anderson,€41.2M
Douglas Luiz,€51.5M
Saïd Benrahma,€14.4M
Omari Kellyman,€22.5M
Ben Godfrey,€12M
Nick Hayes,Free
Tosin Adarabioyo,Free
Thilo Kehrer,€11M
Andy Lonergan,Free
Morgan Sanson,€4M
Adam Lallana,Free
Tommy Doyle,€5M
Abdul Fatawu Issahaku,€17M
Lewis Hall,€33M
Dylan Stephenson,Free
Eric Dier,Free
Igor Thiago,€33M
Ibrahim Osman,€19.5M
Remo Freuler,€4.5M
Luis Sinisterra,€23.4M
Lucas Bergvall,€10M
