Name,Nationality,Team,Position,Age,Games,Games_starts,Minutes,Goals,Assists,Cards_yellow,Cards_red,Xg,Xg_assist,Progressive_carries,Progressive_passes,Progressive_passes_received,Goals_per90,Assists_per90,Xg_per90,Xg_assist_per90,Gk_goals_against_per90,Gk_save_pct,Gk_clean_sheet_pct,Gk_pens_save_pct,Shots_on_target_pct,Shots_per90,Goals_per_shot,Average_shot_distance,Passes_completed,Passes_pct,Passes_total_distance,Passes_pct_short,Passes_pct_medium,Passes_pct_long,Assisted_shots,Passes_into_final_third,Passes_into_penalty_area,Crosses_into_penalty_area,Progressive_passes,Sca,Sca_per90,Gca,Gca_per90,Tackles,Tackles_won,Challenge_tackles,Challenges_lost,Blocks,Blocked_shots,Blocked_passes,Interceptions,Touches,Touches_def_pen_area,Touches_def_3rd,Touches_mid_3rd,Touches_att_3rd,Touches_att_pen_area,Take_ons,Take_ons_won_pct,Take_ons_tackled_pct,Carries,Carries_progressive_distance,Progressive_carries,Carries_into_final_third,Carries_into_penalty_area,Miscontrols,Dispossessed,Passes_received,Progressive_passes_received,Fouls,Fouled,Offsides,Crosses,Ball_recoveries,Aerials_won,Aerials_lost,Aerials_won_pct
Joshua Acheampong,ENG,Chelsea,DF,19-000,4,2,170,0,0,1,0,0.2,0.0,0,8,0,0.0,0.0,0.12,0.0,N/a,N/a,N/a,N/a,0.0,1.06,0.0,8.9,104,83.9,2025,90.6,92.6,55.0,0,6,0,0,8,2,1.06,0,0.0,2,1,2,0,1,0,1,1,137,7,48,81,8,3,2,50.0,0.0,106,409,0,2,0,2,0,111,0,0,1,0,0,7,1,6,14.3
Tyler Adams,US,Bournemouth,MF,26-080,25,18,1710,0,3,7,0,1.6,1.0,12,65,9,0.0,0.16,0.08,0.05,N/a,N/a,N/a,N/a,25.0,0.42,0.0,16.1,757,83.6,11872,88.7,88.0,54.7,16,57,2,1,65,37,1.95,4,0.21,75,46,35,31,33,10,23,32,1151,53,308,661,194,17,16,18.8,56.3,554,1183,12,17,1,27,12,630,9,41,19,0,3,100,29,17,63.0
Tosin Adarabioyo,ENG,Chelsea,DF,27-223,20,13,1229,1,1,3,0,0.9,0.2,5,37,1,0.07,0.07,0.07,0.02,N/a,N/a,N/a,N/a,16.7,0.88,0.08,12.5,988,91.4,18105,95.7,94.9,61.1,1,53,1,0,37,12,0.88,1,0.07,14,10,8,4,9,7,2,10,1198,160,570,603,26,13,5,80.0,0.0,713,1690,5,2,0,3,0,916,1,8,6,1,0,34,36,26,58.1
Simon Adingra,CI,Brighton,FWMF,23-124,26,10,956,2,1,0,0,2.2,1.8,37,14,119,0.19,0.09,0.21,0.17,N/a,N/a,N/a,N/a,28.0,2.35,0.08,16.2,255,76.1,3699,87.0,74.0,55.6,13,5,12,5,14,39,3.68,7,0.66,23,14,10,12,12,0,12,8,488,8,63,158,272,64,48,43.8,56.3,324,1042,37,17,20,35,11,341,119,11,3,2,35,41,6,3,66.7
Emmanuel Agbadou,CI,Wolves,DF,27-322,13,13,1140,0,0,2,0,0.3,0.2,3,22,1,0.0,0.0,0.02,0.02,N/a,N/a,N/a,N/a,16.7,0.47,0.0,31.8,663,85.0,13505,91.7,92.7,61.0,4,26,1,0,22,15,1.18,2,0.16,27,18,11,6,16,12,4,9,924,155,527,381,22,5,10,70.0,20.0,572,1230,3,3,0,3,3,615,1,5,4,1,1,66,22,16,57.9
Ola Aina,NG,Nott'ham Forest,DF,28-209,31,31,2643,2,1,2,0,0.6,0.9,56,95,55,0.07,0.03,0.02,0.03,N/a,N/a,N/a,N/a,22.2,0.31,0.22,24.8,868,73.3,13423,88.3,73.5,36.5,13,78,18,8,95,55,1.87,3,0.1,54,41,35,27,32,12,20,31,1509,143,554,628,354,21,66,45.5,36.4,657,2432,56,37,10,40,22,719,55,21,33,2,46,166,12,18,40.0
Kristoffer Ajer,NO,Brentford,DF,27-018,22,17,1405,0,0,5,0,0.8,1.2,27,54,42,0.0,0.0,0.05,0.08,N/a,N/a,N/a,N/a,37.5,0.51,0.0,10.2,489,78.1,7626,86.7,79.7,49.1,8,42,7,4,54,18,1.15,2,0.13,25,17,14,12,17,4,13,12,773,52,260,359,160,35,16,43.8,50.0,378,1172,27,11,2,15,12,481,42,12,6,1,14,42,27,22,55.1
Manuel Akanji,CH,Manchester City,DF,29-290,23,20,1744,0,0,3,0,0.7,0.4,38,138,6,0.0,0.0,0.04,0.02,N/a,N/a,N/a,N/a,10.0,0.52,0.0,16.3,1427,93.9,23477,95.9,95.4,75.3,9,153,11,2,138,34,1.75,2,0.1,16,11,8,5,11,8,3,7,1635,111,487,797,353,11,2,100.0,0.0,1071,3362,38,52,0,4,5,1291,6,16,9,0,11,89,26,29,47.3
Nathan Aké,NL,Manchester City,DF,30-076,10,8,678,0,0,0,0,0.2,0.0,12,50,2,0.0,0.0,0.03,0.0,N/a,N/a,N/a,N/a,0.0,0.4,0.0,10.0,509,93.9,8321,98.0,97.1,58.8,1,42,1,0,50,8,1.06,0,0.0,9,7,4,2,7,2,5,3,596,51,205,331,61,5,1,100.0,0.0,403,1501,12,12,1,4,3,449,2,2,0,0,1,24,13,10,56.5
Carlos Alcaraz,AR,Everton,FWMF,22-156,12,5,580,1,2,4,0,1.3,1.5,15,37,17,0.16,0.31,0.21,0.23,N/a,N/a,N/a,N/a,31.6,2.95,0.05,20.4,184,79.0,3288,85.4,88.3,61.3,11,15,18,3,37,26,4.03,4,0.62,11,5,3,6,6,1,5,4,311,10,51,139,130,15,16,56.3,31.3,180,576,15,17,2,11,11,206,17,10,9,1,10,29,12,6,66.7
Trent Alexander-Arnold,ENG,Liverpool,DF,26-210,31,28,2296,3,6,5,0,1.8,6.7,50,221,90,0.12,0.24,0.07,0.26,N/a,N/a,N/a,N/a,18.6,1.69,0.07,23.3,1397,73.6,26692,89.9,76.2,48.6,50,198,63,20,221,94,3.68,10,0.39,70,49,48,55,26,9,17,30,2173,86,578,976,633,44,35,45.7,48.6,1139,2780,50,35,9,19,15,1384,90,11,8,1,145,129,3,13,18.8
Alisson,BR,Liverpool,GK,32-215,25,25,2238,0,0,0,0,0.0,0.6,0,0,0,0.0,0.0,0.0,0.02,0.92,71.4,N/a,0.0,N/a,0.0,N/a,N/a,681,83.6,14999,99.0,98.6,48.1,1,11,0,0,0,6,0.24,1,0.04,1,0,0,1,0,0,0,0,860,622,844,16,0,0,1,100.0,0.0,550,1284,0,0,0,1,0,525,0,0,2,0,0,42,6,0,100.0
Alexis Mac Allister,AR,Liverpool,MF,26-132,34,30,2575,5,5,6,0,2.8,4.6,34,174,79,0.17,0.17,0.1,0.16,N/a,N/a,N/a,N/a,34.2,1.33,0.13,18.1,1260,83.5,20147,90.2,88.4,55.7,44,121,34,2,174,119,4.16,15,0.52,95,58,55,49,61,6,55,22,1845,55,280,956,630,60,42,38.1,50.0,906,1961,34,42,5,31,22,1217,79,61,40,2,85,146,19,34,35.8
Miguel Almirón,PY,Newcastle Utd,FW,31-084,9,1,157,0,0,0,0,0.5,0.3,3,6,18,0.0,0.0,0.3,0.15,N/a,N/a,N/a,N/a,33.3,3.44,0.0,14.2,54,81.8,707,92.9,81.3,33.3,3,3,1,0,6,8,4.59,0,0.0,3,2,2,1,2,0,2,0,81,1,10,35,36,9,2,50.0,50.0,54,93,3,3,2,0,2,59,18,1,3,2,0,4,0,2,0.0
Harry Amass,ENG,Manchester Utd,DF,18-050,4,3,256,0,0,0,0,0.0,0.0,9,5,17,0.0,0.0,0.02,0.01,N/a,N/a,N/a,N/a,0.0,0.7,0.0,20.9,121,82.9,1430,93.3,76.9,25.0,1,4,0,0,5,6,2.11,0,0.0,6,2,2,4,6,1,5,2,197,12,69,67,65,4,7,42.9,42.9,102,342,9,6,2,12,5,101,17,2,4,1,6,17,5,5,50.0
Joachim Andersen,DK,Fulham,DF,28-339,26,26,2313,0,0,5,1,1.0,0.3,13,105,2,0.0,0.0,0.04,0.01,N/a,N/a,N/a,N/a,23.5,0.66,0.0,15.2,1485,82.8,32857,91.2,93.6,55.1,3,176,6,3,105,30,1.17,2,0.08,25,17,13,7,33,26,7,30,2089,293,1085,923,93,20,6,66.7,0.0,1211,2996,13,14,1,6,3,1446,2,15,17,0,10,107,63,36,63.6
Elliot Anderson,ENG,Nott'ham Forest,MF,22-180,33,29,2377,2,6,7,0,1.7,3.1,44,118,82,0.08,0.23,0.06,0.12,N/a,N/a,N/a,N/a,20.0,1.33,0.06,19.8,895,77.8,14190,89.1,80.0,46.4,34,93,18,2,118,76,2.88,10,0.38,79,50,42,52,41,8,33,28,1529,88,362,718,477,59,69,50.7,37.7,774,1992,44,29,18,54,38,900,82,40,54,4,73,186,43,22,66.2
André,BR,Wolves,MF,23-293,30,28,2249,0,0,7,0,0.4,0.7,8,95,11,0.0,0.0,0.02,0.03,N/a,N/a,N/a,N/a,11.1,0.36,0.0,25.3,1111,92.8,17503,95.3,95.4,80.0,15,101,4,0,95,45,1.8,3,0.12,80,48,32,25,41,8,33,32,1451,83,395,939,132,3,27,48.1,37.0,795,1440,8,14,0,27,17,973,11,34,32,0,0,176,2,6,25.0
Michail Antonio,JM,West Ham,FW,35-038,14,11,836,1,1,1,0,2.2,1.6,29,18,59,0.11,0.11,0.24,0.17,N/a,N/a,N/a,N/a,21.1,2.05,0.05,12.6,114,60.6,2183,72.2,59.7,71.0,9,11,6,2,18,22,2.37,4,0.43,2,2,2,1,6,0,6,0,296,3,26,124,151,36,27,33.3,48.1,173,695,29,13,9,35,19,221,59,12,7,4,25,22,17,22,43.6
